,altname,altt,alttitle,altwhy,aw,award,awards,awattr,awref,awtype,bnote,bt,budget,by,cat,cattext,cost,coverage,date,dir,diraw,diraward,dirid,dirk,dirn,dirname,dirnote,dirstart,dist,distr,distributor,error,facts,fid,filmed,films,fnote,inc,kname,lang,length,mnote,moneynote,moneynotes,name,nm,nnote,notes,paw,pawattr,period,pname,prc,prcnote,prctext,prod,prodk,prodnote,prods,profit,rating,refdest,refto,reftype,released,rereleased,seen,sername,serno,sersize,sert,siteat,siteclass,sitedes,sitename,siteplace,sitetype,studio,studioloc,studios,t,time,ttl,url,vt,year
735,,,,,,,,0,[14],H,,,,,Myst,,,first,,,,,GH,R,D.Hamilton,G.Hamilton,,@1952,,,,D:David Hamilton),,GH35,,"
   ",,,Ken~Adam,,,,,,Agatha Christie,,,,AAN,,1953,Richard Goodwin,Tcol,,,,X,,,,R,,,,,,5Nov1993,,10,,Bond,Hong Kong,town,,Las Vegas,GB,,EMI,,,Tendres Cousines,,,,N-JB3,1983
736,,,,,,,,,,,,,,,,,,,,,,,GiF,R,Franciolini,Franciolini,,@1952,,,,,,GiF10,,"
   ",,,,\It,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hello, Elephant",,,,,1952
737,,,,,,,,0,,H,,Flight Into Danger,,,Dram,,,,,,,,HaB,R,Bartlett,Bartlett,,@1952,,,,y(19yy),Halliwell [4] `glum',HaB35,,"
   ",,,,,,,,,Oscar Lewis,,,,,,1955,Bartlett,col,,,,N,,,,R,,,,,,,,,,,Mexico City,slum,prison,Casa Grande,Mexico,,,Mexico,,Children of Sanchez,,,,,1978
738,,,,,,,,0,,H,,,,,Actn,,,,,,,,HHo,R,Horner,Horner,,@1952,,,,,,HHo10,,"
   ",,,,,,,,,,,,,,,,Sidney Harmon,bnw,,,,N,,,,,,,,,,,,,,,,city,,L.A.,CA,,U.A.,,,The Wild Party,,,,,1956
739,,,,,,,,0,,H,,,,,Susp,,,first,22Nov,,,,JHo,R,J.Hopper,J.Hopper,,@1952,,,NBC,,,JHo40,,"
   ",,,,,1h,,,,William Link,,,,,,,Hitchcock,TV,,,,R,,,,,,,,,,,,,,,West,,,,USA,,Shamley,,,Day of Reckoning,,,,,1962
740,,,,,,,,,,,,,,,,,,only,,,,,JmH,R,Howe,Howe,,@1952,,,,,,JmH1,,"
   ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Go Man, Go",,,,,1952
741,,Alfie Darling,,\GB,,,,*,[5],H,,,,,Dram,,,first,,,,,KHu,R,K.Hughes,K.Hughes,,@1952,,,,Serno,,KHu22,,"
   ",,,Ken~Adam,,,,,,Frank Cordell,,,,AAN,,,Warren G. Toub,Mcol,,,,N,,,,PG,,,,,,1970,,2,,Alfie,,csd,,,GB,,Briggs and Sullivan,,,Sextette,,,,,1978
742,,,,,,,,,,,,,,,musc,,,,,,,,LeK,R,Kardos,Kardos,,@1952,,,,,,LeK10,,"
   ",,,,,,,,,Berkeley,,,,,,,Pasternak,col,,,,R,,,,,,,,,,,,,,,,,,,,,MGM,,,Small Town Girl,,,,,1952
743,,,,,,,,,,,,,,,Docu,,,,,,,,LGB,R,Berlanga,Berlanga,,@1952,,,,,,LGB10,,"
   ",,,,\Sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,town,,,Spain,,,,,Welcome Mr.~Marshall,,,,,1952
744,,,,,,,,*,,H,,,,,Romt,,,first,,,,,MuB,R,Box,Box,,@1952,,,,,,MuB10,,"
   ",,,,,,,,,,,,,,,,William McQuitty,Tcol,,,,X,,,,,,,,,,,,,,,Pacific,resort,,,Dutch East Indies,,GFD,,,The Truth About Women,,,,,1957
745,,,,,,,,great visual effects,,VIP,,,,,Fant,,,first,,,,,NJu,R,Juran,Juran,,@1952,,,,,,NJu20,,"
   ",,,Herrmann,,,,,,Ray Harryhausen,,,,,,,Charles Schneer,Tcol,,,,N,,,,G,,,,,,1988,,,,,,sea,,Arabian sea,Pacific,,Columbia,,,Siege of the Saxons,,,,,1962
746,,"The Persecution and Assassination of Jean-Paul Marat, as performed by the inmates of the Asylum of Charenton under the Direction of the Marquis deSade",,\GB,,,,*,,H,,,,,Epic,,,all,,,,,PeB,R,Brook,Brook,,@1952,,,,29xx),,PeB10,,"
   ",,,Shakespeare,,3h,,,,JeanClaude Carriere,,,,,,1000BC,Michael Birkett,bnw,,,,N,,,,,,,,,,,,,,,Charenton,csd,insane asylum,Londoin,India,,Columbia,,,The Mahabharata,,,,,1989
747,,,,,,,,,,,,,,,Susp,,,first,22May,,,,PhL,R,Ph.Leacock,Ph.Leacock,,@1952,,,CBS,,,PhL135,,"
   ",,,,,1h,,,,James Bridges,,,,,,,Hitchcock,TV,,,,R,,,,,,,,,,,,,,,,,,,,,Shamley,,,The Curse of King Tut's Tomb,,,,,1980
748,,,,,,,,,,,,,,,Dram,,,,,,,,WHW,R,W.Wright,W.Wright,,@1952,,,,,,WHW10,,"
   ",,,,,,,,,,,,,,,1946,Fred Wilcox,bnw,,,,N,,,,,,,,,,,,,,,,,,,,,MGM,,,Shadow in the Sky,,,,,1952
749,,,,,,,,**,,H,,,,,Susp,,,,,,,,WTy,R,Toye,Toye,,@1952,,,,,,WTy10,,"
   ",,,,,,,,,,,,,,,,George K. Arthur,bnw,,,,N,,,,,,,,,,,,,,,,town,,,GB,,Briish Lion,,,The Stranger Left No Card,,,,,1952
750,,,,,,,,,,,,,,,Dram,,,,,,,,xSc,R,Scotese,Scotese,,@1952,,,,,,xSc10,,"
   ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carmen Prohibida,,,,,1952
751,,Women in Twilight,,\GB,,,,,,,,Don Giovanni,,,Dram,,,first,,,,,ADx,R,Delvaux,Delvaux,,@1953,,,,,"homage to Jaques, filmarchivist, dob 1921, dod 1988, unseen",ADx45,,"
   ",,,,"\Du, Flemish",30 min,,,,Marguerite Yourcenar ,,,,,,1500,Belgian Cul.Min.,col,,,,O,,,,,,,,,,14May1994,,,,,,city,movie set,Bruges,Belgium,,,\Be,,L'Oevre au Noir,,,,,1988
752,,,,,,,,,,,,,,,,,,,,,,,AFo,R,A.Ford,A.Ford,,@1953,,,,,,AFo10,,"
   ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Five Boys from Barska,,,,,1953
753,,,,,,,,0,,H,,,,,Susp,,,,5Oct,,,,ALv,R,Laven,Laven,,@1953,,,CBS,,,ALv101,,"
   ",,,,,1h,,,,James Bridges,,,,,,,Hitchcock,TV,,,,R,,,,,,,,,,9Jan2000,,,,,town,public,roadhouse,,USA,,Shamley,,,The Return of Verge Likens,,,,N-HD2-11; no names,1964
754,,,,,,,,**,,H,,,,,Natu,,,,,,,,ASu,R,Sucksdorff,Sucksdorff,,@1953,,,,,,ASu10,,"
   ",,,Sucksdorff,,,,,,,,,,,,,Sucksdorff,bnw,,,,R,,,,,,,,,,,,,,,,csd,,,Sweden,,,\Sw,,The Great Adventure,,,,,1953
755,,,,,,,,,,,,,,,Fant,,,,,,,,AtH,R,Hilton,Hilton,,@1953,,,,,,AtH10,,"
   ",,,Elmer~Bernstein,,,,,,,,,,,,,Al Zimbalist,3D,,,,N,,,,,,,,,,,,,,,,space,moon,,Universe,,Astor,,,Cat Women of the Moon,,,,,1953
756,,,,,,,,,,,,,,,Dram,,,,,,,,CFr,R,Ch.Frank,Ch.Frank,,@1953,,,,,,CFr10,,"
   ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intimate Relations,,,,,1953
757,,,,,,,,0,,H,,,,,Susp,,,"first, etc.",,,,,DkP,R,D.Powell,D.Powell,,@1953,,,,,,DkP5,,"
   ",,,,,,,,,,,,,,,,D.Powell,CS,,,,R,,,,,,,,,,Nov1988,,,,,South,ship,destroyer and submarine,,Atlantic,,Fox,,,The Hunters,,,,,1958
758,,,,,,,,,,AAN,,,,,Romt,,,first,,,,,DKu,R,Kurys,Kurys,,@1953,,,,,,DKu10,,"
   ",,,,,,,,,Ives Simon,,,,,,,Robert Benmussa,col,,,,N,,,,,,,,,,,,,,,,,,,,,Alexandre,,,Apres l'Amour,,,,,1993
759,,The Transvestite,,USA,,,,Worst film ever made,,VIP,,,,,Horr,,22K,first ?,,,,,EDW,R,E.D.Wood~jr,E.D.Wood~jr,,@1953,,,,,,EDW30,,"
   ",,,,,,,,,E.D.Wood~jr.,,,,,,,William J. Reynolds,bnw,,,,N,,,,,,,,,,,,,,,,,,,,,Screen Classics,US,,The Sinister Urge,,,,,1961
760,,,,,,,,,,,,The Foghorn,,,ScFi,,200K,,,,,,EuL,N,Douglas Hickok,Lourie,,@1953,,,,,,EuL30,,"
   ",,50M,Ray~Bradbury,,,,,,Willis OBrien,,,,,,,Wilfred Eades,col,,,,N,,,,,,,,,,,,,,,,city,coast,London,GB,,MGM,,,Gorgo,,,,,1961
761,,,,,,,,,,,,,,,Dram,,,,,,,,FFe,R,Ferrin,Ferrin,,@1953,,,,,,FFe10,,"
   ",,,,,,,,,,,,,,,,Ferrin,col,,,,R,,,,,,,,,,,,,,,,,,,India,,U.A.,,,The Hindu,,,,,1953
762,,,,,,,,**,[5],CG,,,,,Actn,,,,,,,,HEs,R,Essex,Essex,,@1953,,,,,,HEs10,,"
   ",,,,,,,,,Mickey Spillane,,,,,,,V.Saville,bnw 3D,,,,R,,,,,,,,,,,,,,,,,,,,,Parklane,,,"I, The Jury",,,,,1953
763,,,,,,,,0,,H,,,,,Advt,,,,,,,,HoC,R,Carr,Carr,,@1953,,,,,,HoC10,,"
   ",,,,,,,,,,,,,,,,Howard Dimsdale,Tcol,,,,N,,,,,,,,,,,,,,,,,,,,,U.A.,,,Captain Scarlett,,,,,1953
764,,The Young Hellions,,,,,,**,[5],CG,,,,,Comd,,,,,,,,JA,R,Arnold,Arnold,,@1953,,,,,,JA35,,"
   ",,,,,,,,,Stanley Mann,,,,,,,Zugsmith,col,,,,R,,,,,,,,,,1990,,2,,creature,Grand Fenwick,city,high school,NYC,NY,,MGM,\GB,,The Mouse that Roared,,,,,1959
765,,,,,,,,*,,H,,,,,Advt,,,first,,,,,JHi,R,Hibbs,Hibbs,,@1953,,,,,,JHi7,,"
   ",,,,,,,,,,,,,,,,Hunter,Tcol,,,,R,,,,,,,,,,,,,,,,csd,,,AK,,U-I,,,The Spoilers,,,,,1955
766,,,,,,,,v,,AANdir,,,,,Dram,,,first,,,,,JIv,R,Ivory,Ivory,,@1953,,,Columbia,y(1975),,JIv51,,"
   ",,25M,Jhabvala,,,,,,Hanry James,,,,AAN,,1903,Merchant,col,,,,R,,,,R,,,,,,15Nov2000,,,,,csd,city,suburb,Paris,England,,Disney,\GB,,The Golden Bowl,,,,,2001
767,,,,,,,,,,,,,,,Dram,,,first,,,,,KaS,R,Shindo,Shindo,,@1953,,,,,No dialogue,KaS30,,"
   ",,,,,,,,,,,,,,,,,bnw,,,,,,,,,,,,,,1962,,,,,,island,barren island,,,,,,,Kuroneko,,,,,1967
768,,,,,,,,,,,,,,,Musc,,,,,,,,LgC,R,Comencini,Comencini,,@1953,,,,,,LgC30,,"
   ",,,,\It,,,,,Puccini,,,,,,1810,,col,,,,,,,,,,,,,,26Jun2000,,,,,,city,,Paris,France,,,,,La Boheme,,,,,1988
769,,,,,,,,**,,H,,Candide,,,Dram,,,first,,,,,LiA,R,L.Anderson,L.Anderson,,@1953,,,,,,LiA50,,"
   ",,,,,3H,,,,Ondricek,,,,,,,Michael Medwin,Ecol,,,,N,,,,R,,,,,,,,,,,,school,,,GB,,Warners,\GB,,The Whales of August,,,,,1987
770,,,,,,,,,,,,,,,Dram,,,first,,,,,MCy,R,Cacoyannis,Cacoyannis,,@1953,,,U.A.,,,MCy11,,"
   ",,,,\Gr,,,,,Euripides,,,,,,,,bnw,,,,,,,,PG,,,,,,19Dec1992,,,,,,resort,,Aulis,Greece,,,,,Iphigenia,,,,,1976
771,,,,,,,,****,,H,,jazz,,,Cart,,,,,,,,NLr,R,McLaren,McLaren,,@1953,,,,,,NLr10,,"
   ",,,,,,,,,Oscar Peterson trio ,,,,,,,McLaren,col,,,,N,,,,,,,,,,,,,,,,home,abstract,,,,National Film Board,,,Beggone Dull Care,,,,,1953
772,,,,,,,,0,,H,,,,,Romt,,,first,,,,,NuJ,N,Unknown,Nunally~J.,,@1953,,,,,,NuJ10,,"
   ",,,Nunally~J.,,,,,,Kibbee,,,,AAN,,1944-1954,Nunally~J.,Ecol,,,,R,,,,,,,,,,19Dec1998,,,,,South,town,,NYC,USA,,Fox,,,The World of Henry Orient,,,,,1964
773,,,,,,,,,,,,,,,Musc,,,first,,,,,RDW,R,R.D.Webb,R.D.Webb,,@1953,,,,,,RDW10,,"
   ",,,,,,,,,,,,,,,1850,David Weisbart,bnw,,,,N,,,,,,,,,,,,,,,South,city,,London,USA,,Foc,,,Love Me Tender,,,,,1956
774,,,,,,,,0,,H,,,,,Comd,,,first,,,,AAN,RoA,R,Aldrich,Aldrich,,@1953,,,,D(aw),,RoA70,,"
   ",,,,,,,,,Johnseph Wambaugh,,,,,,1929,Aldrich,Mcol,,,,R,,,,R,,,,,,27Aug1989,,,,,MidWest,city,mansion,S.F.,USA,,MGM,,,All the Marbles,,,,,1981
775,,,,,,,,0,,H,,,,,BioP,,,,,,,,SSn,R,S.Sheldon,S.Sheldon,,@1953,,,,,,SSn2,,"
   ",,,,,,,,,S.Sheldon,,,,,,,S.Sheldon,col,,,,R,,,,,,,,,,,,,,,,,,,,,MGM,,,The Buster Keaton Story,,,,,1957
776,,,,,,,,*,[14],H,,Also Sprach Zarahustra,,,Romt,,12M,first,,,,,StK,R,Kubrick,Kubrick,An.Mann forced out,@1953,,,U.A.,,,StK21,,"
   ",,,Ken~Adam,,196m,,,,Vernon Sewell,,unlisted,,AA,,1910,Kubrick,col,,,,R,,,,R,,,,,,24Feb1990,,,,,New York,city,mountain resort,Vienna,Austria,,Warners,,,Eyes Wide Shut,,,,N-SF1;HP11,1999
777,,,,,,,,,,,,,,,Horr,,,,,,,,VeS,R,Sewell,Sewell,,@1953,,,,y(19yy),,VeS30,,"
   ",,,,,,,,,Peter Byran,,,,,,1850,Arnold L. Miller,col,,,,N,,,,,,,,,,,,,,,,town,,,GB,,Pacemaker,,,The Vampire Beast Craves Blood,,,,,1968
778,,,,,,,,0,,H,,,,,Dram,,,,,,,,WoR,R,Rilla,Rilla,,@1953,,,,,,WoR25,,"
   ",,,,,,,,,,,,,,,,Ronald Kinnoch,bnw,,,,N,,,,PG,,,,,,,,,,,Cairo,museum,,,Egypt,,MGM,,,Cairo,,,,,1963
779,,,,,,,,**,,AAN,,,,,ScFi,,,first ?,,,,,AMa,N,Ricou Browning,Marton,,@1954,,,,,,AMa61,,"
   ",,,,,,,,,Henry Persin,,,,AA,,,Marton,Mcol,,,,C,,,,,,,,,,,,,,,oceans,sea,underwater,Cape Kennedy,FL,,MGM,,,Around the World Under the Sea,,,,,1966
780,,,,,,,,*,,BFA,,,,,Romt,,,first,,,,,AWj,R,Wajda,Wajda,,@1954,,,,y(198y),,AWj50,,"
   ",,,,,,,,,A.Holland,,,,,,1946,,col,,,,N,,,,PG,,,,,,,,,,,South Sea,city,manor,Warsaw,Poland,,Gaumont,\Po,,The Horse Hair Ring,,,,,1992
781,,,,,,,,v,,H,,,,,Dram,,,first,,,,,GGr,R,Guy~Green,Guy~Green,,@1954,,,,,,GGr18,,"
   ",,,,,,,,,Julius~Epstein,,,,,,,Koch,,,,,R,,,,,,,,,,30Oct1989,,,,,Hollywood,movies,,,CA,,Paramount,,,Once is Not Enough,,,,,1975
782,,,,,,,,,,,,,,,Dram,,,,,,,,GSc,R,Schaefer,Schaefer,,@1954,,,,,,GSc19,,"
   ",,,Shakespeare,,,,,,Frank Slaughter,,,,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,Norway,,Columbia,,,Right of Way,,,,,1984
783,,,,,,,,,,,,,,,ScFi,,,,,,,,HLS,R,Strock,Strock,,@1954,,,,,,HLS10,,"
   ",,,,,,,,,Ivan Tors,,,,,,,Ivan Tors,3D,,,,N,,,,,,,,,,,,,,,,,,,,,U.A.,,,Gog,,,,,1954
784,,,,,,,,0,[5],H,,,,,Comd,,,,,,,,HoK,R,Koch,Koch,,@1954,,,,,,HoK12,,"
   ",,,,,,,,,,,,,,,,Aubrey Schenk,bnw,,,,N,,,,,,,,,,,,16,,Andy Hardy,Transylvania,,,,,,MGM,,,Andy Hardy Comes Home,,,,,1958
785,,,,,,,,,,,,,,,Actn,,,,,,,,IIl,N,Edwards Sampson,J.Ireland,,@1954,,,,,,IIl10,,"
   ",,,,,,,,,,,,,,,,Corman,bnw,,,,R,,,,,,,,,,,,,,,,sports,,Pebble Beach,Mexico,,ARC,,,The Fast and Furious,,,,,1954
786,,,,,,,,,,,,,,,Cart,,,,,,,,JAl,N,Pixote Hunt,Algar,,@1954,,,,,,JAl20,,"
   ",,,,,,,,,Shostakovich,,,,,,,,IMAX,,,,,,,,,,,,,,,,,,,,,,,,,Disney,,,Fantasia 2000,,,,,1999
787,,,,,,,,,,,,,,,Advt,,,,,,,,JJu,R,Judge,J.Judge,,@1954,,,,,,JJu10,,"
   ",,,,,,,,,,,,,,,,Hary Ribnick,bnw,,,,X,,,,,,,,,,,,,,,,,,,Haiti,,U.A.,,,The Golden Mistress,,,,,1954
788,,,,,,,,*,,H,,,,,CnRb,,,first,,,,,JWe,R,J.Webb,J.Webb,,@1954,,,,,,JWe12,,"
   ",,,,,,,,,,,,,,,,J.Webb,TV,,first shown 1969,,R,,,,,,,,,,,,,,,,city,,L.A.,CA,,Warners,,,Dragnet,,,,,1966
789,,,,,,,,***,,H,,,,,Dram,,,first,,,,,KoI,R,Ichikawa,Ichikawa,,@1954,,,,,,KoI70,,"
   ",,,,,,,,,Minoru Yokohama,,,,,,1946,Masuyuki Takagi,bnw,,,,N,,,,,,,,,,,,,,,,csd,jungle,,Burma,,Nikkatsu,,,The Phoenix,,,,,1977
790,,,,,,,,,,,,The Cyclists' Raid,,,Susp,,,,1Feb,,,,LaB,R,Benedek,Benedek,,@1954,,,CBS,,Book similar to Robert Louis Stevenson: 'The Suicide Club',LaB31,,"
   ",,,,,1h,,,,Arthur Ross,,,,,,1945,Hitchcock,TV,,,,R,,,,,,,,,,,,,,,,town,,Hollister,CA,,Shamley,,,Thanatos Palace Hotel,,,,,1965
791,,,,,,,,*,,H,,,,,Dram,,,,,,,,LNm,R,Norman,Norman,,@1954,,,,,,LNm14,,"
   ",,,,,,,,,,,,,,,1940,Tom Morahan,bnw,,,,N,,,,,,,,,,,,,,,,town,airplanes,Dunkirk,France,,Ealing,,,Dunkirk,,,,,1958
792,,,,,,,,,,,,,,,,,,first,,,,,,R,Truman,Truman,,@1954,,,,y(1980?,,MT10,,"
   ",,,,,,,,,,,,,,,,Cole,,,,,R,,,,,,,,,,,,,,,,,,,MT,,,,,Secret Agent,,,,,1980
793,,,,,,,,,,,,,,,Hist,,,,,,,,NKo,R,Koundouros,Koundouros,,@1954,,,,,,NKo25,,"
   ",,,,,,,,,,,,,,,1922,,,,,,,,,,,,,,,,,,,,,,,,,Turkey,,,,,1922,,,,,1978
794,,,,,,,,*,[5],CG,,,,,Romt,,,first,,,,,PeG,R,Glenville,Glenville,,@1954,,,,Tcol,,PeG6,,"
   ",,,Elmer~Bernstein,,,,,,Laurence Rosenthal,,,,AAN,,1900,Wallis,col,,,,R,,,,R,,,,,,,,,,,London,city,,Paris,France,,Paramount,,,Hotel Paradiso,,,,,1966
795,,Hercules,,USA,,,,,,,,,,,Actn,,,,,,,,PtF,R,Francisci,Francisci,,@1954,,,,,,PtF10,,"
   ",,,,,,,,,Mario Bava,,,,,,,Federico Teti,Ecol,,,,N,,,,,,,,,,,,,,,,,,,Greece,,Kit Parker,,,Le Fatiche di Ercole,,,,,1957
796,,The Middle Man,,USA,,,,Gold,,Bear,,,,,Dram,,,,,,,,SR,R,S.Ray,S.Ray,,@1954,,,,,,SR80,,"
   ",,,,Bengali,2h,,,,S.Ray,,,,,,1880,R.D. Bansai,bnw,,,,N,,,,,,,,,,3Jul1999,,3,,Teen Kanya (The Three Daughters),Bengal,city,village,Calcutta,India,,Epic,India,,The Stranger,,,,,1992
797,,,,,,,,,,,,,,,Romt,,,,,,,,TKg,R,Kinegusa,Kinegusa,,@1954,,,,,,TKg10,,"
   ",,,,\Ja,,,,,,,,,,,1150,,col,,,,,,,,,,,,,,,,,,,,city,,Kyoto,Japan,,,,,Gate of Hell,,,,,1954
798,,,,,,,,,,,,,,,ScFi,,,,,,,,ToT,R,Tanaka,Tanaka,,@1954,,,,,,ToT10,,"
   ",,,,,,,,,Akira Ifukube,,,,,,,Terry Morse,bnw,,,,X,,,,,,,,,,,,,,,,city,,Tokyo,Japan,,Embassy,,,"Godzilla, King of the Monsters",,,,,1954
799,,,,,,,,,,,,,,,,,,,,,,,UsI,R,Ismael,Ismael,,@1954,,,,,,UsI10,,"
   ",,,,Bahasa Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,After the Curfew,,,,,1954
800,,,,,,,,,,,,,,,ScFi,,,,,,,,xTu,R,Tucker,Tucker,,@1954,,,,,,xTu10,,"
   ",,,Elmer~Bernstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robot Monster,,,,,1954
801,,,,,,,,*,,H,,,,,Romt,,,,,,,,YvR,R,Y.Robert,Y.Robert,,@1954,,,,y(19yy),,YvR16,,"
   ",,,,\Fr,,,,,Y.Robert,,,,,,,Y.Robert,Ecol,,,,R,,,,,,,,,,,,,,,,,,,France,,Gaumont,,,My Father's Glory,,,,,1982
802,,Crisis 2050,,,,,,*,,H,,,,,TV,,,"Pseudonym for directors who don't want to recognize a film, if actual D is known shown as CoD",,,,,AS,R,Alan~Smithee,Alan~Smithee,,@1955,,,,,remake on TV,AS32,,"
   ",,,,,,,,,,,,,,,,Richard E. Lyons,col,,,,N,,,,,,,,,,,,,,,,,,,,,Universal,,,Raging Angels,,,,,199x
803,,,,,,,,,,,,,,,Comd,,,,,,,,ABl,R,Blasetti,Blasetti,,@1955,,,,,,ABl10,,"
   ",,,,\It,,,,,Alberto Moravia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Italy,,,,,Too Bad She's Bad,,,,,1955
804,,,,,,,,,,,,,,,,,,,,,,,ASk,R,Sakellarios,Sakellarios,,@1955,,,,,,ASk10,,"
   ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Music, Poverty, and Pride",,,,,1955
805,,,,,,,,0,,H,,,,,Comd,,,complete,,,,,BE,R,B.Edwards,B.Edwards,,@1955,,,MGM,U.A.),,BE39,,"
   ",,,Henry~Mancini,,,,,,sw,,,,AA,,1934,B.Edwards,col,,,,R,,,,PG,,,,,,"3Oct1989, 14Apr2000",,9,,Pink Panther,Paris,city,nightclubs,Chicago,IL,,U.A.,,,Son of the Pink Panther,,,,,1993
806,,,,,,,,,,,,,,,Horr,,,,,,,,BVS,R,VeSota,VeSota,,@1955,,,,,,BVS10,,"
   ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Brain Eaters,,,,,1975
807,,,,,,,,**,,H,,,,,Horr,,,first,,,,,CL,R,Laughton,Laughton,,@1955,,,,,,CL1,,"
   ",,,,,,,,,Davis~Grubb,,,,,,,Paul Gregory,bnw,,,,N,,,,,,,,,,,,,,,,town,,,USA,,U.A.,,,The Night of the Hunter,,,,,1955
808,,A Simple Story,,,,,,*,,Cesardir,,,,,Romt,,,"first, 30 total.",,,,,ClS,R,Sautet,Sautet,,@1955,,,,,,ClS45,,"
   ",,,,\Fr,,,,,Ravel,,,,,,,,col,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nelly and Monsieur Arnaud,,,,,1996
809,,,,,,,,*,,H,,,,,Dram,,,first,,,,,CoW,R,C.Wilde,C.Wilde,,@1955,,,,,,CoW7,,"
   ",,,,,,,,,,,,,,,800,C.Wilde,Tcol,,,,R,,,,,,,,,,,,,,,,sea,island,,Pacific,,U.A.,\GB,,Shark's Treasure,,,,,1975
810,,,,,,,,,,,,,,,Advt,,,,,,,,CSG,R,Gould,Gould,,@1955,,,,,,CSG10,,"
   ",,,,,,,,,,,,,,,,Sam Katzman,bnw,,,,N,,,,,,,,,,,,17,16,Jungle Jim,,,,,Africa,,Columbia,,,Jungle Moon Men,,,,,1955
811,,,,,,,,**,,H,,,,,Dram,,,first,,,,,DeM,R,Del.Mann,Del.Mann,,@1955,,,,C(Ch.Lang~jr.,,DeM20,,"
   ",,,Elmer~Bernstein,,,,,,David Raskin,,,,AAN,,,Harold Hecht,Tcol,,,,N,,,,G,,,,,,1Feb1998,,,,,seaside,hotel,farm,Asbury Park,GB,,U.A.,,,Separate Tables,,,,,1983
812,,,,,,,,0,,H,,,,,Advt,,,first,30Oct,,,,DMe,R,Medford,Medford,,@1955,,,CBS,,,DM230,,"
   ",,,,,30m,,,,M.Cockrell,,,,,,1899,Walter Mirrisch,DeLuxe,,,,N,,,,,,,,,,,,3,,Mr.Tibbs,West,city,,S.F.,CA,,U.A.,,,The Organization,,,,N-HQ7; end only,1971
813,,,,,,,,0,,H,,,,,Horr,,,first,,,,,GFj,R,Fowler,Fowler,,@1955,,,,,,GFj20,,"
   ",,,,,,,,,Louis Vittes,,,,,,,Herman Cohen,-w,,,,N,,,,,,,,,,,,,,,,,,,,,Allied Artists,,,The Rebel Set,,,,,1959
814,,,,,,,,,,,,,,,Dram,,,,,,,,GTz,R,Tzavellas,Tzavellas,,@1955,,,,,,GTz10,,"
   ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,city,,Thebes,Greece,,,,,Antigone,,,,,1961
815,,It's a Dog's Life,,\GB,,,,0,,H,,,,,ScFi,,,,,,,,HeH,R,H.Hoffman,H.Hoffman,,@1955,,,,,,HeH12,,"
   ",,,,,,,,,,,,,,,,Nicholas Nyfack,col,,,,N,,,,,,,,,,,,,,,NYC,city,,Bowery,NY,,MGM,,,The Invisible Boy,,,,,1957
816,,,,,,,,**,,H,,,,,Cart,,,,,,,,HLu,R,Luske,Luske,,@1955,,,,,,HLu10,,"
   ",,,,,,,,,,,,,,,,Erdmann Penner,CS,,,,N,,,,,,,,,,,,,,,,,,,,,Disney,,,Lady and the Tramp,,,,,1955
817,,,,,,,,,,,,,,,,,,,,,,,HVe,R,Verneuil,Verneuil,,@1955,,,,,,HVe11,,"
   ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,public,roadside cafй,Lisbon,France,,,,,Des Gens sans Importance,,,,,1955
818,,,,,,,,,,,,,,,Romt,,,,,,,,HWo,R,Wolff,Wolff,,@1955,,,,,,HWo1,,"
   ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,public,gasstation,,Germany,,,Germany,,Drei von der Tankstelle,,,,,1955
819,,,,,,,,0,,W50,,,,,Advt,,,first,,,,,InA,R,I.Allen,I.Allen,,@1955,,,,D= :P),weird,InA50,,"
   ",,,,,,,,,Lamb,,,,,,2010,I.Allen,col,,,,R,,,,PG,,,,,,,,,,,sea,airplane,ballon,,Africa,,Fox,,,The Swarm,,,,,1978
820,,Daughter of Horror,,1958,,,,,,,,,,,Fant,,,,,,,,IPa,R,J.Parker,J.Parker,,@1955,,,,,,IPa10,,"
   ",,,,,1 h,,,,,,,,,,,J.Parker,bnw,,,,R,,,,,,,,,,,,,,,,city,,,USA,,API,,,Dementia,,,,,1955
